+----------------------------------+-------------------------+-------+------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------+
|               name               |           host          |  port |                  alias                   |                                                                    script                                                                   |
|       ioc-amo-gige-col-01        |      ioc-amo-gige03     | 30018 |                    ?                     |                              /reg/g/pcds/epics/ioc/amo/gigECam/R2.3.3/build/iocBoot/ioc-amo-gige-col-01/st.cmd                              |
|        ioc-amo-gige-hr-01        |      ioc-amo-gige03     | 30016 |                    ?                     |                               /reg/g/pcds/epics/ioc/amo/gigECam/R2.3.3/build/iocBoot/ioc-amo-gige-hr-01/st.cmd                              |
|      ioc-amo-kbo-table-ims       |      ioc-amo-mot01      | 30101 |                    ?                     |                               /reg/g/pcds/epics/ioc/amo/ims/R5.1.0/build/iocBoot/ioc-amo-kbo-table-ims/st.cmd                               |
|    ioc-amo-lamp-3axis-mmc-01     |      ioc-amo-slits      | 30052 |                    ?                     |                             /reg/g/pcds/epics/ioc/amo/mmc/R2.2.0/build/iocBoot/ioc-amo-lamp-3axis-mmc-01/st.cmd                             |
|    ioc-amo-lamp-3axis-mmc-02     |      ioc-amo-slits      | 30053 |                    ?                     |                             /reg/g/pcds/epics/ioc/amo/mmc/R2.2.0/build/iocBoot/ioc-amo-lamp-3axis-mmc-02/st.cmd                             |
|    ioc-amo-lamp-4axis-mmc-01     |      ioc-amo-slits      | 30051 |                    ?                     |                             /reg/g/pcds/epics/ioc/amo/mmc/R2.2.0/build/iocBoot/ioc-amo-lamp-4axis-mmc-01/st.cmd                             |
|    ioc-amo-lamp-4axis-mmc-02     |      ioc-amo-slits      | 30054 |                    ?                     |                             /reg/g/pcds/epics/ioc/amo/mmc/R2.2.0/build/iocBoot/ioc-amo-lamp-4axis-mmc-02/st.cmd                             |
|      ioc-amo-lamp-mani-ims       |     ioc-det-pnccd01     | 30107 |                    ?                     |                            /reg/g/pcds/epics/ioc/det/ims-config/R1.1.0/build/iocBoot/ioc-amo-lamp-mani-ims/st.cmd                           |
|      ioc-amo-lamp-stage-ims      |     ioc-det-pnccd01     | 30050 |                    ?                     |                           /reg/g/pcds/epics/ioc/det/ims-config/R1.2.0/build/iocBoot/ioc-amo-lamp-stage-ims/st.cmd                           |
|    ioc-amo-lamp-stage-protura    |    ioc-amo-lampenc01    | 30060 |                    ?                     |                           /reg/g/pcds/epics/ioc/amo/protura/R2.0.2/build/iocBoot/ioc-amo-lamp-stage-protura/st.cmd                          |
|      ioc-amo-lamp-stand-ims      |      ioc-amo-mot01      | 30081 |                    ?                     |                               /reg/g/pcds/epics/ioc/amo/ims/R5.1.4/build/iocBoot/ioc-amo-lamp-stand-ims/st.cmd                              |
|    ioc-amo-lamp-stand-protura    |    ioc-amo-lampenc01    | 30061 |                    ?                     |                           /reg/g/pcds/epics/ioc/amo/protura/R2.0.2/build/iocBoot/ioc-amo-lamp-stand-protura/st.cmd                          |
|       ioc-amo-lamp-vacuum        |      ioc-amo-vacuum     | 30012 |                    ?                     |                         /reg/g/pcds/package/epics/3.14-dev/ioc/amo/vacuum/current/iocBoot/ioc-amo-lamp-vacuum/st.cmd                        |
|         ioc-amo-las-xps1         |      ioc-amo-slits      | 30004 |              Newport XPS 1               |                              /reg/g/pcds/epics/ioc/amo/NewportXPS8/R2.0.1/build/iocBoot/ioc-amo-las-xps1/st.cmd                             |
|         ioc-amo-las-xps2         |      ioc-amo-slits      | 30005 |              Newport XPS 2               |                              /reg/g/pcds/epics/ioc/amo/NewportXPS8/R2.0.1/build/iocBoot/ioc-amo-las-xps2/st.cmd                             |
|         ioc-amo-las-xps3         |      ioc-amo-slits      | 30006 |              Newport XPS 3               |                              /reg/g/pcds/epics/ioc/amo/NewportXPS8/R2.0.1/build/iocBoot/ioc-amo-las-xps3/st.cmd                             |
|           ioc-amo-lc20           |      ioc-amo-misc01     | 40026 |          SDS Shimadzu HPLC Pump          |                       /reg/g/pcds/package/epics/3.14-dev/ioc/common/shimadzu-lc20/current/iocBoot/ioc-amo-lc20/st.cmd                       |
|         ioc-amo-pfeiffer         |      ioc-amo-vacuum     | 30040 |                    ?                     |                                 /reg/g/pcds/epics/ioc/common/pfeiffer/R1.1.0/iocBoot/ioc-amo-pfeiffer/st.cmd                                |
|           ioc-amo-pico           |      ioc-amo-mot01      | 30106 |                    ?                     |                                /reg/g/pcds/epics/ioc/amo/picoMotion/R1.1.2/build/iocBoot/ioc-amo-pico/st.cmd                                |
|         ioc-amo-ppl-dumb         |      ioc-amo-mot01      | 30045 |                    ?                     |                                  /reg/g/pcds/epics/ioc/amo/ims/R5.1.0/build/iocBoot/ioc-amo-ppl-dumb/st.cmd                                 |
|        ioc-amo-ppl01-ims         |      ioc-amo-vacuum     | 30039 |                    ?                     |                                 /reg/g/pcds/epics/ioc/amo/ims/R5.1.0/build/iocBoot/ioc-amo-ppl01-ims/st.cmd                                 |
|        ioc-amo-ppl02-ims         |      ioc-amo-mot01      | 30040 |                    ?                     |                                 /reg/g/pcds/epics/ioc/amo/ims/R5.1.4/build/iocBoot/ioc-amo-ppl02-ims/st.cmd                                 |
|        ioc-amo-ppl03-ims         |      ioc-amo-mot01      | 30041 |                    ?                     |                                 /reg/g/pcds/epics/ioc/amo/ims/R5.1.0/build/iocBoot/ioc-amo-ppl03-ims/st.cmd                                 |
|        ioc-amo-pvNotepad         |      ioc-amo-slits      | 30001 |                    ?                     |                              /reg/g/pcds/epics/ioc/amo/pvNotepad/R1.7.0/build/iocBoot/ioc-amo-pvNotepad/st.cmd                              |
|           ioc-amo-pwr            |      ioc-amo-slits      | 30020 |                    ?                     |                                   /reg/g/pcds/epics/ioc/common/Leviton/R1.28.1/iocBoot/ioc-amo-pwr/st.cmd                                   |
|       ioc-amo-rackmonitor        |      ioc-amo-slits      | 30008 |                    ?                     |                               /reg/g/pcds/epics/ioc/amo/rackMonitor/R1.1.0/iocBoot/ioc-amo-rackmonitor/st.cmd                               |
|          ioc-amo-rotSmp          |       ioc-amo-uniq      | 40202 |                    ?                     |                               /reg/g/pcds/epics/ioc/common/rotSamplePlane/R1.1.1/iocBoot/ioc-amo-rotSmp/st.cmd                              |
|      ioc-amo-sas-pmcMotion       |      ioc-amo-slits      | 30003 |                    ?                     |                                /reg/g/pcds/epics/ioc/common/arcus/R3.5.3/iocBoot/ioc-amo-sas-pmcMotion/st.cmd                               |
|           ioc-amo-sds            |      ioc-amo-misc01     | 40025 |               SDS Mastodon               |                             /reg/g/pcds/package/epics/3.14-dev/ioc/common/sds/current/iocBoot/ioc-amo-sds/st.cmd                            |
|       ioc-amo-shutter-ims        |      ioc-amo-mot01      | 30999 |                    ?                     |                                /reg/g/pcds/epics/ioc/amo/ims/R5.1.0/build/iocBoot/ioc-amo-shutter-ims/st.cmd                                |
